startip,endip,country,carrier
0,16777215,IANA,保留地址
16777216,16777471,澳大利亚,CZ88.NET
16777472,16778239,福建省,电信
16778240,16779263,澳大利亚,CZ88.NET
16779264,16781311,广东省,电信
16781312,16785407,日本,Beacon服务器
16785408,16793599,广东省,电信
16793600,16809983,日本,広島県中区大手町Energia通信公司
16809984,16842751,泰国,CZ88.NET
16842752,16843007,福建省,电信
16843008,16843263,澳大利亚,亚太互联网络信息中心
16843264,16844799,福建省,电信
16844800,16859135,广东省,电信
16859136,16875519,日本,东京都新宿区歌舞伎町i2ts公司
16875520,16879359,泰国,穆达汉
16879360,16879871,泰国,CZ88.NET
16879872,16880639,泰国,沙功那空
16880640,16881151,泰国,CZ88.NET
16881152,16881280,泰国,沙功那空
16881281,16881407,泰国,曼谷
16881408,16881663,泰国,CZ88.NET
16881664,16881791,泰国,曼谷
16881792,16881919,泰国,沙功那空
16881920,16882175,泰国,沙功那空廊曼
16882176,16883199,泰国,沙功那空
16883200,16883967,泰国,曼谷
16883968,16884223,泰国,攀孔敬
16884224,16884735,泰国,曼谷
16884736,16885247,泰国,沙功那空
16885248,16886271,泰国,攀孔敬
16886272,16886399,泰国,沙功那空
16886400,16886655,泰国,曼谷
16886656,16886783,泰国,沙功那空
16886784,16886784,泰国,曼谷
16886785,16887039,泰国,攀孔敬
16887040,16887167,泰国,曼谷
16887168,16887295,泰国,沙功那空
16887296,16889855,泰国,曼谷
16889856,16890111,泰国,加拉信府
16890112,16891391,泰国,曼谷
16891392,16891647,泰国,如果硅农
16891648,16892159,泰国,加拉信府
16892160,16892287,泰国,曼谷
16892288,16895743,泰国,加拉信府
16895744,16897023,泰国,曼谷
16897024,16897535,泰国,那空拍侬
16897536,16897791,泰国,曼谷
16897792,16898047,泰国,那空拍侬
16898048,16900607,泰国,曼谷
16900608,16901119,泰国,纳卡
16901120,16902143,泰国,曼谷
16902144,16902399,泰国,Erawan
16902400,16902655,泰国,班帕度万
16902656,16907007,泰国,黎府
16907008,16908287,泰国,曼谷
16908288,16908799,福建省,电信
16908800,16909055,北京市海淀区,北龙中网(北京)科技有限责任公司
16909056,16909311,澳大利亚,CZ88.NET
16909312,16909319,北京市,中国互联网络信息中心
16909320,16909320,北京市,中国互联网络信息中心SDNS服务器
16909321,16909567,北京市,中国互联网络信息中心
16909568,16910335,福建省,电信
16910336,16910591,中国,网络信息中心
16910592,16941055,广东省,电信
16941056,16973823,泰国,CZ88.NET
16973824,17039359,广东省,电信
17039360,17039615,澳大利亚,CZ88.NET
17039616,17040383,福建省,电信
17040384,17040639,北京市海淀区,北龙中网(北京)科技有限责任公司
17040640,17041407,福建省,电信
17041408,17072127,广东省,电信
17072128,17104895,泰国,CZ88.NET
17104896,17170431,日本,港区东
17170432,17301503,印度,CZ88.NET
17301504,17367039,北京市海淀区,北龙中网(北京)科技有限责任公司
17367040,17432575,马来西亚,CZ88.NET
17432576,17434623,广东省,电信
17434624,17435135,福建省,电信
17435136,17435391,澳大利亚,CZ88.NET
17435392,17436671,福建省,电信
17436672,17465343,广东省,电信
17465344,17498111,泰国,CZ88.NET
17498112,17563647,韩国,CZ88.NET
17563648,17629183,北京市,北京北大方正宽带网络科技有限公司
17629184,17645567,吉林省长春市,CZ88.NET
17645568,17825791,北京市,北京北大方正宽带网络科技有限公司
17825792,18087935,韩国,CZ88.NET
18087936,18153471,泰国,CZ88.NET
18153472,18219007,日本,CZ88.NET
18219008,18350079,印度,CZ88.NET
18350080,18352127,内蒙古,联通
18352128,18354175,内蒙古锡林郭勒盟,联通
18354176,18356223,内蒙古,联通
18356224,18358271,内蒙古鄂尔多斯市,联通
18358272,18360319,内蒙古乌兰察布市,联通
18360320,18360575,内蒙古锡林郭勒盟,联通
18360576,18360831,内蒙古锡林郭勒盟苏尼特右旗,联通
18360832,18366463,内蒙古锡林郭勒盟,联通
18366464,18370559,内蒙古,联通
18370560,18374143,内蒙古乌兰察布市,联通
18374144,18374399,内蒙古乌兰察布市丰镇市,联通
18374400,18374655,内蒙古乌兰察布市,联通
18374656,18379263,内蒙古巴彦淖尔市,联通
18379264,18379519,内蒙古巴彦淖尔市杭锦后旗,联通
18379520,18382847,内蒙古巴彦淖尔市,联通
18382848,18384895,内蒙古包头市,联通
18384896,18387967,内蒙古鄂尔多斯市,联通
18387968,18391039,内蒙古乌海市,联通
18391040,18393087,内蒙古包头市,联通
18393088,18395135,内蒙古锡林郭勒盟,联通
18395136,18397183,内蒙古阿拉善盟,联通
18397184,18398207,内蒙古乌海市,联通
18398208,18399231,内蒙古包头市,联通
18399232,18401279,内蒙古乌兰察布市,联通
18401280,18405375,内蒙古呼和浩特市,联通
18405376,18406143,内蒙古乌兰察布市,联通
18406144,18406399,内蒙古巴彦淖尔市,联通
18406400,18406655,内蒙古包头市,联通
18406656,18406911,内蒙古包头市固阳县,联通
18406912,18410495,内蒙古包头市,联通
18410496,18411519,内蒙古乌兰察布市,联通
18411520,18412543,内蒙古呼和浩特市,联通
18412544,18413567,内蒙古乌海市,联通
18413568,18415615,内蒙古锡林郭勒盟,联通
18415616,18417663,内蒙古乌兰察布市,联通
